Date,Water Intake,Calorie Intake
05-11-2023,3523,2248
06-11-2023,3197,2065
07-11-2023,4288,2786
08-11-2023,3582,2370
09-11-2023,3206,2058
10-11-2023,4295,2756
11-11-2023,3831,2472
12-11-2023,3788,2482
13-11-2023,2993,1983
14-11-2023,3281,2115
15-11-2023,3174,2083
16-11-2023,4187,2674
17-11-2023,3928,2561
18-11-2023,3191,2042
19-11-2023,3446,2257
20-11-2023,3415,2229
21-11-2023,2913,1936
22-11-2023,3229,2065
23-11-2023,3535,2285
24-11-2023,3296,2161
25-11-2023,3554,2293
26-11-2023,3085,1986
27-11-2023,3646,2334
28-11-2023,3369,2206
29-11-2023,3875,2559
30-11-2023,4255,2734
01-12-2023,2955,1876
02-12-2023,4180,2672
03-12-2023,4095,2625
04-12-2023,3042,1998
05-12-2023,2868,1914
06-12-2023,2874,1821
07-12-2023,4185,2689
08-12-2023,3674,2392
09-12-2023,3697,2448
10-12-2023,3341,2197
11-12-2023,3975,2540
12-12-2023,3979,2583
13-12-2023,4197,2759
14-12-2023,3440,2256
15-12-2023,4064,2650
16-12-2023,4040,2670
17-12-2023,3693,2434
18-12-2023,3805,2523
19-12-2023,2808,1853
20-12-2023,3031,1953
21-12-2023,3072,2046
22-12-2023,3206,2035
23-12-2023,3626,2340
24-12-2023,3555,2341
25-12-2023,3731,2376
26-12-2023,3140,2065
27-12-2023,3817,2433
28-12-2023,3843,2511
29-12-2023,3542,2347
30-12-2023,3509,2239
31-12-2023,3571,2285
01-01-2024,3027,1970
02-01-2024,4216,2704
03-01-2024,3172,2082
04-01-2024,4244,2800